start,end,latitude,longitude,type,rfmos.0,rfmos.1,rfmos.2,rfmos.3,eezs.0,vessel.name,vessel.flag,vessel.ssvid,loitering.totalTimeHours,loitering.totalDistanceKilometers,loitering.medianSpeedKnots,eezs.1
2017-08-20T20:59:08.000Z,2017-08-20T22:58:39.000Z,3.48085,-3.3618725,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,NOVAYA ZEMLYA,KNA,341244000,1.992,6.144,1.665,
2017-08-21T02:51:13.000Z,2017-08-21T15:56:15.000Z,5.199840833,0.384318333,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,TOKACHI FROST,COK,518332000,13.084,25.775,1.064,
2017-08-25T19:53:42.000Z,2017-08-25T22:55:12.000Z,5.118058333,0.080766667,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,LADY ROSEBAY,PAN,370095000,3.025,7.365,1.315,
2017-08-25T23:55:40.000Z,2017-08-26T02:58:41.000Z,5.154391667,0.1317,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,LADY ROSEBAY,PAN,370095000,3.05,6.364,1.127,
2017-08-30T22:50:21.000Z,2017-08-31T03:58:18.000Z,4.42648,-1.777666667,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,M/V VOLTA VICTORY,GHA,627084000,5.133,10.724,1.128,
2017-08-31T06:58:36.000Z,2017-08-31T13:51:18.000Z,4.067894167,-1.921688333,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,VOLTA GLORY,GHA,627047000,6.878,18.274,1.435,
2017-08-31T08:59:01.000Z,2017-08-31T12:59:04.000Z,3.879436667,-2.385315833,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,SAMSKIP GLACIER,BHS,309146000,4.001,7.993,1.079,
2017-09-03T09:47:30.000Z,2017-09-03T10:59:33.000Z,3.552693333,-3.422186667,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,FRIO LAS PALMAS,PAN,356609000,1.201,4.36,1.96,8473
2017-09-04T16:57:04.000Z,2017-09-05T01:47:52.000Z,5.107308333,0.252573333,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,SALGIR,PAN,355199000,8.847,7.209,0.44,
2017-09-05T02:42:10.000Z,2017-09-05T13:42:51.000Z,5.224949167,0.271185833,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,SALGIR,PAN,355199000,11.011,6.659,0.327,
2017-09-05T14:55:02.000Z,2017-09-05T20:58:12.000Z,5.328045833,0.359148333,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,SALGIR,PAN,355199000,6.053,9.878,0.881,
2017-09-10T19:58:29.000Z,2017-09-12T18:46:20.000Z,4.7752275,0.532655,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,FRIO LAS PALMAS,PAN,356609000,46.798,119.659,1.381,
2017-09-11T12:58:29.000Z,2017-09-11T16:43:30.000Z,4.203541667,-1.875599167,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,M/V VOLTA VICTORY,GHA,627084000,3.75,6.727,0.968,
2017-09-13T03:57:01.000Z,2017-09-14T18:59:48.000Z,4.603245833,0.329355,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,FRIO LAS PALMAS,PAN,356609000,39.046,118.65,1.641,
2017-09-14T12:59:13.000Z,2017-09-14T17:56:05.000Z,4.190255,-1.289114167,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,VOLTA GLORY,GHA,627047000,4.948,8.72,0.952,
2017-09-14T23:59:22.000Z,2017-09-15T03:37:37.000Z,4.42895,0.024293333,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,FRIO LAS PALMAS,PAN,356609000,3.638,8.33,1.236,
2017-09-22T16:55:21.000Z,2017-09-22T18:55:01.000Z,5.342641667,0.215983333,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,LADY ROSEBAY,PAN,370095000,1.994,6.287,1.702,
2017-09-23T22:59:00.000Z,2017-09-24T06:52:03.000Z,3.875640833,-2.010360833,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,DELTA REEFER,COM,616757000,7.884,12.831,0.879,
2017-09-30T18:59:38.000Z,2017-10-02T09:59:46.000Z,3.07356,1.847586667,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,SIERRA KING,NLD,244542000,39.002,27.164,0.376,
2017-10-02T10:59:25.000Z,2017-10-02T14:44:25.000Z,3.11107,1.793480833,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,SIERRA KING,NLD,244542000,3.75,2.795,0.402,
2017-10-04T17:50:46.000Z,2017-10-04T23:57:17.000Z,5.113583333,0.556618333,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,ELBRUS,LBR,636010125,6.109,11.14,0.985,
2017-10-05T14:49:58.000Z,2017-10-05T17:56:38.000Z,4.823003333,-0.45751,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,M/V VOLTA VICTORY,GHA,627084000,3.111,7.676,1.332,
2017-10-06T00:56:13.000Z,2017-10-06T01:58:00.000Z,4.402570833,-2.068680833,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,TAVR,VCT,376715000,1.03,1.583,0.83,
2017-10-07T06:19:45.000Z,2017-10-07T12:17:25.000Z,4.206414167,-1.544458333,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,VOLTA GLORY,GHA,627047000,5.961,8.423,0.763,
2017-10-08T23:59:16.000Z,2017-10-09T16:55:52.000Z,5.019253333,0.2472775,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,HARENGUS,FRO,231792000,16.943,32.58,1.038,
2017-10-13T13:51:50.000Z,2017-10-13T18:53:48.000Z,4.522075,-1.034876667,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,M/V VOLTA VICTORY,GHA,627084000,5.033,5.519,0.592,
2017-10-16T10:54:48.000Z,2017-10-16T11:59:09.000Z,5.213013333,0.534456667,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,NAFTILOS,KIR,529558000,1.073,3.514,1.769,
2017-10-16T14:58:18.000Z,2017-10-16T22:53:55.000Z,5.140941667,0.660746667,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,NAFTILOS,KIR,529558000,7.927,20.123,1.371,
2017-10-17T16:40:53.000Z,2017-10-17T20:59:14.000Z,4.900076667,0.486576667,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,WATER PHOENIX,LBR,636092422,4.306,9.621,1.206,
2017-10-20T16:56:10.000Z,2017-10-20T23:59:28.000Z,5.352403333,0.225776667,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,LADY ROSEBAY,PAN,370095000,7.055,17.958,1.374,
2017-10-21T00:56:14.000Z,2017-10-21T03:55:09.000Z,5.3863,0.299908333,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,LADY ROSEBAY,PAN,370095000,2.982,7.037,1.274,
2017-10-21T04:52:13.000Z,2017-10-21T08:49:22.000Z,4.199219167,-1.7316125,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,VOLTA GLORY,GHA,627047000,3.953,9.312,1.272,
2017-10-22T22:59:01.000Z,2017-10-23T00:42:33.000Z,5.006031667,-0.389190833,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,TAVR,VCT,376715000,1.726,6.118,1.914,
2017-10-29T13:31:29.000Z,2017-10-29T15:32:48.000Z,4.34964,-1.212726667,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,ANGARA,PAN,356889000,2.022,5.701,1.523,
2017-10-29T17:22:28.000Z,2017-10-29T22:37:57.000Z,4.404,-1.278233333,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,ANGARA,PAN,356889000,5.258,14.134,1.451,
2017-10-30T18:53:09.000Z,2017-10-30T19:59:09.000Z,3.464861667,1.19719,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,DELTA REEFER,COM,616757000,1.1,0.16,0.079,
2017-10-31T01:56:18.000Z,2017-10-31T04:30:07.000Z,3.519011667,-2.6592175,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,NOVA ZEELANDIA,BES,306497000,2.564,4.108,0.865,
2017-10-31T03:53:26.000Z,2017-10-31T07:36:31.000Z,4.167238333,-1.362281667,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,M/V VOLTA VICTORY,GHA,627084000,3.718,8.433,1.225,
2017-11-03T11:03:19.000Z,2017-11-03T22:55:21.000Z,3.51204,-0.942973333,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,HAI FENG 898,KNA,341443000,11.867,21.464,0.977,
2017-11-04T13:35:16.000Z,2017-11-04T16:47:27.000Z,3.378740833,-1.0316175,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,HAI FENG 823,CHN,412660240,3.203,6.866,1.157,
2017-11-11T16:44:09.000Z,2017-11-12T06:03:18.000Z,5.06108,-0.110551667,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,SEIWA,KOR,440046000,13.319,33.326,1.351,
2017-11-13T14:31:43.000Z,2017-11-13T23:59:32.000Z,4.278706667,-1.221126667,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,VOLTA GLORY,GHA,627047000,9.464,12.284,0.701,
2017-11-14T02:57:45.000Z,2017-11-15T02:58:33.000Z,4.152968333,-0.5349475,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,DELTA REEFER,COM,616757000,24.013,55.29,1.243,
2017-11-25T17:03:25.000Z,2017-11-25T20:49:40.000Z,4.631376667,-0.34601,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,M/V VOLTA VICTORY,GHA,627084000,3.771,10.76,1.541,
2017-11-25T22:50:48.000Z,2017-11-26T05:46:08.000Z,4.5724,-0.218,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,M/V VOLTA VICTORY,GHA,627084000,6.922,15.229,1.188,
2017-11-28T09:59:01.000Z,2017-11-28T15:56:59.000Z,4.117611667,-1.422983333,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,VOLTA GLORY,GHA,627047000,5.966,16.882,1.528,
2017-11-30T21:59:19.000Z,2017-12-01T07:56:19.000Z,5.090885,-0.057354167,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,SHOTA MARU,LBR,636017359,9.95,23.925,1.298,
2017-12-01T10:59:21.000Z,2017-12-02T02:57:02.000Z,5.017343333,-0.036926667,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,SHOTA MARU,LBR,636017359,15.961,45.659,1.545,
2017-12-08T18:42:02.000Z,2017-12-08T22:56:04.000Z,4.900099167,0.019725833,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,M/V VOLTA VICTORY,GHA,627084000,4.234,6.219,0.793,
2017-12-10T23:59:54.000Z,2017-12-11T12:10:33.000Z,3.870706667,-0.321421667,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,FRIO CHIKUMA,PAN,353306000,12.178,4.586,0.203,
2017-12-12T20:58:32.000Z,2017-12-13T02:44:53.000Z,4.240506667,-1.351525,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,VOLTA GLORY,GHA,627047000,5.773,14.297,1.337,
